trab	hstrab	edmadre	edpadre	sexo	lugar	anhofin	ocupmadre	ocuppadre	edadr	tituto	mate1	tot1	info1	comp1	cont1	edHOGAR
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	amadecasa	otrosP	menores20	privado	altoM	medioT	medioI	bajoCL	bajoC	3
trabNO	notrab	terciaria	secundaria	M	Montevideo	2005	profesional	otrosP	menores20	privado	medioM	medioT	altoI	bajoCL	medioC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	amadecasa	privadoP	menores20	privado	medioM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2004	otros	publicoP	mayores20	privado	medioM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	M	Montevideo	2004	profesional	jubiladoP	mayores20	privado	altoM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	profesionalP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	3
trabNO	notrab	terciaria	terciaria	F	Montevideo	2004	amadecasa	otrosP	menores20	privado	medioM	medioT	bajoI	bajoCL	altoC	3
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	otros	otrosP	menores20	privado	altoM	altoT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	altoM	altoT	bajoI	altoCL	altoC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	medioM	medioT	medioI	altoCL	bajoC	3
trabSI	menos20	secundaria	terciaria	M	Montevideo	2003	otros	profesionalP	mayores20	privado	medioM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	otros	otrosP	menores20	privado	medioM	medioT	medioI	altoCL	altoC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	menores20	privado	altoM	altoT	medioI	bajoCL	medioC	3
trabNO	notrab	secundaria	terciaria	F	Montevideo	2005	otros	profesionalP	menores20	privado	bajoM	medioT	medioI	altoCL	medioC	2
trabSI	mas40	secundaria	terciaria	M	Montevideo	2005	privado	profesionalP	mayores20	privado	altoM	altoT	medioI	altoCL	medioC	2
trabNO	notrab	terciaria	secundaria	M	Montevideo	2006	publico	publicoP	menores20	privado	medioM	medioT	medioI	medioCL	altoC	2
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	profesional	profesionalP	menores20	privado	medioM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	terciaria	terciaria	F	Montevideo	2004	otros	otrosP	mayores20	privado	medioM	medioT	medioI	altoCL	altoC	3
trabSI	menos20	secundaria	secundaria	M	Montevideo	2006	otros	otrosP	mayores20	privado	medioM	medioT	altoI	medioCL	bajoC	1
trabNO	notrab	terciaria	secundaria	M	Montevideo	2005	profesional	privadoP	menores20	privado	medioM	altoT	medioI	medioCL	medioC	2
trabNO	notrab	secundaria	terciaria	M	Montevideo	2006	privado	profesionalP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2004	otros	publicoP	mayores20	privado	bajoM	bajoT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	secundaria	F	Montevideo	2005	profesional	otrosP	menores20	privado	altoM	altoT	medioI	altoCL	medioC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	otrosP	menores20	privado	medioM	altoT	medioI	altoCL	medioC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	jubilado	otrosP	menores20	privado	medioM	medioT	medioI	bajoCL	medioC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2004	otros	otrosP	menores20	privado	medioM	medioT	medioI	bajoCL	medioC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	otrosP	mayores20	privado	medioM	medioT	bajoI	bajoCL	medioC	3
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	profesionalP	mayores20	privado	bajoM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	otrosP	menores20	privado	altoM	altoT	altoI	altoCL	altoC	3
trabNO	notrab	secundaria	terciaria	F	Montevideo	2005	amadecasa	otrosP	menores20	privado	bajoM	medioT	medioI	altoCL	bajoC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	publico	privadoP	menores20	publico	altoM	altoT	medioI	medioCL	medioC	1
trabNO	notrab	terciaria	secundaria	F	Montevideo	2005	privado	otrosP	menores20	publico	altoM	medioT	medioI	bajoCL	bajoC	2
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	otros	otrosP	mayores20	publico	medioM	medioT	medioI	medioCL	altoC	3
trabNO	notrab	terciaria	primaria	F	Montevideo	2006	otros	otrosP	menores20	publico	medioM	bajoT	medioI	bajoCL	bajoC	2
trabSI	mas40	secundaria	secundaria	M	Montevideo	2005	privado	privadoP	mayores20	publico	medioM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	amadecasa	otrosP	mayores20	publico	medioM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	terciaria	secundaria	M	Montevideo	2004	publico	otrosP	menores20	publico	altoM	altoT	medioI	altoCL	altoC	2
trabSI	mas40	secundaria	secundaria	F	Montevideo	2006	privado	jubiladoP	menores20	publico	bajoM	medioT	medioI	bajoCL	altoC	1
trabNO	notrab	terciaria	secundaria	M	Montevideo	2006	otros	privadoP	mayores20	publico	medioM	altoT	medioI	altoCL	altoC	2
trabNO	notrab	secundaria	primaria	F	Montevideo	2005	publico	privadoP	mayores20	publico	medioM	medioT	altoI	altoCL	bajoC	1
trabNO	notrab	primaria	primaria	M	Montevideo	2005	privado	publicoP	menores20	publico	altoM	altoT	altoI	medioCL	bajoC	1
trabSI	menos20	secundaria	secundaria	M	Montevideo	2005	otros	otrosP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	primaria	M	Montevideo	2005	privado	privadoP	menores20	publico	altoM	altoT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	privado	privadoP	menores20	publico	altoM	medioT	medioI	bajoCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	otrosP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	3
trabNO	notrab	terciaria	secundaria	M	Montevideo	2006	profesional	privadoP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	amadecasa	otrosP	menores20	publico	altoM	altoT	medioI	medioCL	altoC	1
trabNO	notrab	secundaria	primaria	F	Montevideo	2006	jubilado	privadoP	menores20	publico	medioM	medioT	bajoI	altoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	otros	otrosP	menores20	publico	medioM	medioT	medioI	bajoCL	bajoC	1
trabSI	menos20	secundaria	secundaria	M	Montevideo	2000	otros	otrosP	mayores20	publico	medioM	altoT	altoI	altoCL	altoC	1
trabSI	mas40	primaria	primaria	F	Montevideo	2006	otros	otrosP	menores20	publico	medioM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	publico	otrosP	mayores20	publico	medioM	bajoT	bajoI	altoCL	bajoC	1
trabSI	mas40	terciaria	secundaria	M	Montevideo	2005	publico	otrosP	mayores20	publico	medioM	altoT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	jubilado	privadoP	menores20	publico	bajoM	bajoT	medioI	medioCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	privado	otrosP	menores20	publico	medioM	bajoT	bajoI	medioCL	bajoC	1
trabSI	menos20	terciaria	secundaria	M	Montevideo	2006	otros	jubiladoP	menores20	publico	altoM	medioT	medioI	medioCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	privado	privadoP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	1
trabSI	mas40	secundaria	secundaria	M	Montevideo	2006	jubilado	jubiladoP	mayores20	publico	medioM	medioT	medioI	bajoCL	medioC	1
trabSI	mas40	secundaria	terciaria	M	Montevideo	2002	privado	profesionalP	mayores20	publico	altoM	altoT	medioI	bajoCL	medioC	2
trabNO	notrab	primaria	secundaria	F	Montevideo	2005	publico	otrosP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	1
trabSI	mas40	secundaria	secundaria	M	Montevideo	2005	privado	jubiladoP	mayores20	publico	medioM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	profesional	profesionalP	menores20	publico	medioM	bajoT	bajoI	altoCL	bajoC	3
trabSI	mas40	secundaria	secundaria	F	Montevideo	2006	privado	publicoP	menores20	publico	medioM	bajoT	bajoI	altoCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	publicoP	menores20	publico	medioM	bajoT	bajoI	bajoCL	bajoC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	privado	privadoP	menores20	publico	medioM	medioT	altoI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	mayores20	publico	altoM	altoT	medioI	altoCL	altoC	3
trabSI	mas40	terciaria	secundaria	M	Montevideo	2006	profesional	otrosP	mayores20	publico	bajoM	bajoT	medioI	medioCL	bajoC	2
trabSI	mas40	terciaria	primaria	F	Montevideo	2004	profesional	privadoP	mayores20	publico	bajoM	medioT	medioI	altoCL	altoC	2
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	profesional	profesionalP	mayores20	publico	medioM	medioT	medioI	altoCL	bajoC	3
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	profesionalP	mayores20	publico	medioM	medioT	medioI	medioCL	medioC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	otros	publicoP	menores20	publico	medioM	altoT	medioI	altoCL	altoC	1
trabSI	menos20	secundaria	terciaria	M	Montevideo	2006	amadecasa	publicoP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	2
trabNO	notrab	terciaria	secundaria	F	Montevideo	2006	privado	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	medioC	2
trabSI	menos20	primaria	primaria	F	Montevideo	2005	amadecasa	otrosP	mayores20	publico	medioM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	secundaria	terciaria	F	Montevideo	2006	privado	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	2
trabSI	mas40	terciaria	secundaria	M	Montevideo	2006	profesional	otrosP	menores20	publico	medioM	medioT	medioI	medioCL	medioC	2
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	otros	privadoP	menores20	publico	altoM	altoT	medioI	medioCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	jubiladoP	menores20	publico	altoM	medioT	medioI	bajoCL	medioC	3
trabSI	menos20	secundaria	secundaria	M	Montevideo	2005	jubilado	otrosP	mayores20	publico	medioM	altoT	altoI	altoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2006	amadecasa	otrosP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	profesionalP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	3
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	profesionalP	menores20	publico	altoM	medioT	bajoI	medioCL	bajoC	3
trabNO	notrab	terciaria	secundaria	F	Montevideo	2006	publico	otrosP	menores20	publico	altoM	altoT	medioI	bajoCL	altoC	2
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	profesional	publicoP	menores20	publico	altoM	medioT	medioI	bajoCL	bajoC	3
trabSI	menos20	primaria	primaria	F	Montevideo	2000	amadecasa	otrosP	mayores20	publico	bajoM	bajoT	medioI	altoCL	bajoC	1
trabNO	notrab	terciaria	secundaria	F	Montevideo	2006	profesional	otrosP	menores20	publico	bajoM	bajoT	bajoI	bajoCL	medioC	2
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	otros	profesionalP	menores20	publico	altoM	altoT	medioI	bajoCL	altoC	3
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	otros	privadoP	menores20	publico	medioM	altoT	altoI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	M	Montevideo	2006	profesional	privadoP	mayores20	publico	medioM	bajoT	bajoI	medioCL	bajoC	1
trabNO	notrab	primaria	primaria	F	Montevideo	2006	amadecasa	privadoP	menores20	publico	altoM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	amadecasa	profesionalP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	publico	privadoP	menores20	publico	bajoM	medioT	medioI	altoCL	altoC	1
trabSI	menos20	terciaria	terciaria	F	Montevideo	2006	publico	privadoP	mayores20	publico	bajoM	bajoT	bajoI	bajoCL	bajoC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	amadecasa	otrosP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	1
trabSI	mas40	secundaria	terciaria	M	Montevideo	2005	otros	profesionalP	mayores20	publico	medioM	bajoT	bajoI	bajoCL	altoC	2
trabSI	menos20	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	mayores20	publico	altoM	altoT	medioI	altoCL	medioC	3
trabNO	notrab	primaria	secundaria	F	Montevideo	2005	amadecasa	jubiladoP	mayores20	publico	bajoM	bajoT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	mayores20	publico	medioM	medioT	medioI	altoCL	bajoC	3
trabNO	notrab	primaria	primaria	F	Montevideo	2005	privado	jubiladoP	menores20	publico	bajoM	medioT	altoI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	privado	privadoP	menores20	publico	bajoM	bajoT	bajoI	bajoCL	altoC	1
trabSI	mas40	secundaria	primaria	M	Montevideo	2005	publico	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	medioC	1
trabSI	mas40	primaria	secundaria	M	Montevideo	2006	amadecasa	privadoP	menores20	publico	bajoM	bajoT	bajoI	altoCL	bajoC	1
trabNO	notrab	secundaria	primaria	F	Montevideo	2005	amadecasa	privadoP	menores20	publico	bajoM	bajoT	bajoI	bajoCL	altoC	1
trabSI	mas40	secundaria	secundaria	F	Montevideo	2004	privado	privadoP	mayores20	publico	bajoM	bajoT	medioI	altoCL	medioC	1
trabSI	mas40	secundaria	primaria	M	Montevideo	2005	amadecasa	publicoP	mayores20	publico	medioM	medioT	medioI	altoCL	medioC	1
trabSI	mas40	secundaria	secundaria	M	Montevideo	2005	otros	privadoP	menores20	publico	medioM	medioT	medioI	medioCL	altoC	1
trabNO	notrab	primaria	primaria	F	Montevideo	2005	privado	jubiladoP	menores20	publico	medioM	medioT	medioI	medioCL	altoC	1
trabSI	menos20	terciaria	primaria	F	Montevideo	2005	privado	otrosP	menores20	publico	bajoM	bajoT	medioI	bajoCL	altoC	2
trabSI	mas40	primaria	primaria	F	Montevideo	2004	amadecasa	otrosP	mayores20	publico	medioM	altoT	altoI	altoCL	altoC	1
trabSI	mas40	secundaria	secundaria	F	Montevideo	2005	publico	publicoP	mayores20	publico	bajoM	medioT	medioI	altoCL	altoC	1
trabSI	mas40	secundaria	secundaria	F	Montevideo	2005	privado	otrosP	menores20	publico	medioM	bajoT	medioI	bajoCL	medioC	1
trabSI	mas40	terciaria	primaria	F	Montevideo	2006	publico	privadoP	mayores20	publico	bajoM	bajoT	bajoI	altoCL	bajoC	2
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	publico	publicoP	mayores20	publico	bajoM	medioT	medioI	medioCL	altoC	1
trabNO	notrab	primaria	primaria	F	Montevideo	2005	privado	privadoP	menores20	publico	bajoM	medioT	medioI	altoCL	altoC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	amadecasa	privadoP	menores20	publico	bajoM	bajoT	bajoI	bajoCL	bajoC	1
trabSI	mas40	secundaria	secundaria	F	Montevideo	2002	otros	privadoP	mayores20	publico	bajoM	medioT	medioI	altoCL	altoC	1
trabSI	mas40	secundaria	secundaria	F	Montevideo	2006	publico	publicoP	mayores20	publico	medioM	medioT	medioI	bajoCL	altoC	1
trabSI	mas40	primaria	primaria	M	Montevideo	1996	privado	privadoP	mayores20	privado	medioM	medioT	altoI	medioCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	publico	publicoP	menores20	privado	medioM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	secundaria	primaria	F	Montevideo	2006	privado	privadoP	menores20	privado	altoM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	privado	otrosP	menores20	privado	medioM	medioT	medioI	altoCL	altoC	1
trabNO	notrab	terciaria	secundaria	M	Montevideo	2005	profesional	otrosP	menores20	privado	altoM	altoT	altoI	altoCL	medioC	2
trabSI	mas40	primaria	primaria	M	Montevideo	2005	privado	otrosP	menores20	privado	medioM	medioT	bajoI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	profesionalP	mayores20	privado	altoM	altoT	altoI	altoCL	medioC	3
trabSI	menos20	terciaria	terciaria	M	Montevideo	2005	publico	publicoP	menores20	privado	bajoM	medioT	altoI	bajoCL	medioC	3
trabNO	notrab	terciaria	secundaria	F	Montevideo	2005	profesional	privadoP	menores20	privado	altoM	altoT	medioI	altoCL	altoC	2
trabNO	notrab	terciaria	terciaria	F	Montevideo	2006	privado	profesionalP	menores20	privado	altoM	altoT	medioI	altoCL	medioC	3
trabNO	notrab	terciaria	secundaria	F	Montevideo	2006	profesional	privadoP	menores20	privado	medioM	medioT	medioI	altoCL	bajoC	2
trabNO	notrab	terciaria	secundaria	F	Montevideo	2005	privado	privadoP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	secundaria	terciaria	F	Montevideo	2005	otros	otrosP	menores20	privado	medioM	medioT	medioI	altoCL	medioC	2
trabSI	menos20	secundaria	secundaria	F	Montevideo	2005	privado	privadoP	menores20	privado	medioM	altoT	medioI	altoCL	altoC	1
trabNO	notrab	terciaria	secundaria	F	Montevideo	2001	publico	publicoP	mayores20	publico	altoM	medioT	medioI	altoCL	bajoC	2
trabNO	notrab	primaria	primaria	F	Montevideo	2005	privado	privadoP	menores20	publico	medioM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2005	profesional	jubiladoP	menores20	privado	medioM	medioT	medioI	altoCL	altoC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	otros	otrosP	mayores20	publico	medioM	medioT	medioI	bajoCL	bajoC	1
trabSI	mas40	terciaria	terciaria	M	Montevideo	2005	profesional	otrosP	mayores20	publico	medioM	medioT	medioI	altoCL	medioC	3
trabNO	notrab	secundaria	secundaria	M	Montevideo	2005	privado	privadoP	menores20	privado	medioM	bajoT	bajoI	medioCL	bajoC	1
trabNO	notrab	terciaria	terciaria	F	Montevideo	2005	profesional	privadoP	menores20	privado	medioM	medioT	medioI	bajoCL	medioC	3
trabSI	mas40	primaria	secundaria	F	Montevideo	2000	jubilado	jubiladoP	mayores20	publico	bajoM	medioT	medioI	medioCL	altoC	1
trabNO	notrab	secundaria	terciaria	F	Montevideo	2005	jubilado	publicoP	menores20	privado	bajoM	bajoT	bajoI	altoCL	bajoC	2
trabSI	menos20	terciaria	terciaria	M	Montevideo	2004	publico	otrosP	mayores20	publico	medioM	medioT	medioI	altoCL	bajoC	3
trabNO	notrab	secundaria	secundaria	F	Montevideo	2005	otros	otrosP	menores20	publico	medioM	medioT	bajoI	altoCL	medioC	1
trabNO	notrab	terciaria	terciaria	M	Montevideo	2006	profesional	profesionalP	mayores20	publico	medioM	bajoT	bajoI	bajoCL	bajoC	3
trabNO	notrab	secundaria	primaria	M	Montevideo	2005	privado	jubiladoP	menores20	publico	medioM	medioT	medioI	medioCL	bajoC	1
trabNO	notrab	primaria	primaria	F	Interior	1981	otros	otrosP	mayores20	publico	medioM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2005	publico	publicoP	menores20	publico	bajoM	bajoT	bajoI	altoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2006	privado	publicoP	menores20	publico	medioM	medioT	medioI	altoCL	altoC	1
trabNO	notrab	secundaria	primaria	M	Interior	2005	amadecasa	privadoP	mayores20	publico	medioM	medioT	altoI	bajoCL	medioC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2005	profesional	privadoP	menores20	publico	bajoM	bajoT	medioI	bajoCL	bajoC	1
trabNO	notrab	secundaria	terciaria	F	Interior	2005	amadecasa	profesionalP	menores20	publico	medioM	medioT	medioI	altoCL	altoC	2
trabSI	mas40	primaria	secundaria	M	Interior	1998	amadecasa	privadoP	mayores20	privado	medioM	altoT	altoI	bajoCL	medioC	1
trabNO	notrab	primaria	primaria	M	Interior	2005	amadecasa	privadoP	menores20	publico	medioM	altoT	altoI	altoCL	medioC	1
trabSI	menos20	primaria	primaria	F	Interior	2006	otros	otrosP	menores20	publico	medioM	medioT	medioI	bajoCL	altoC	1
trabNO	notrab	secundaria	secundaria	F	Interior	2005	otros	privadoP	menores20	publico	bajoM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	terciaria	secundaria	F	Interior	2006	profesional	privadoP	menores20	publico	medioM	medioT	altoI	medioCL	medioC	2
trabSI	mas40	primaria	secundaria	F	Interior	2000	privado	privadoP	mayores20	publico	bajoM	bajoT	bajoI	medioCL	medioC	1
trabNO	notrab	primaria	primaria	M	Interior	2006	jubilado	otrosP	menores20	publico	medioM	medioT	bajoI	altoCL	medioC	1
trabNO	notrab	secundaria	terciaria	M	Interior	2006	privado	otrosP	menores20	publico	medioM	medioT	medioI	bajoCL	bajoC	2
trabNO	notrab	terciaria	terciaria	F	Interior	2005	profesional	jubiladoP	menores20	publico	medioM	altoT	medioI	altoCL	altoC	3
trabNO	notrab	primaria	secundaria	M	Interior	2006	amadecasa	publicoP	menores20	publico	altoM	altoT	altoI	altoCL	medioC	1
trabNO	notrab	secundaria	terciaria	F	Interior	2005	jubilado	otrosP	menores20	publico	medioM	medioT	medioI	medioCL	medioC	2
trabNO	notrab	primaria	primaria	M	Interior	2005	amadecasa	otrosP	menores20	publico	bajoM	bajoT	bajoI	medioCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2005	amadecasa	otrosP	menores20	publico	bajoM	medioT	medioI	altoCL	bajoC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2005	publico	publicoP	mayores20	publico	bajoM	medioT	medioI	altoCL	medioC	1
trabNO	notrab	secundaria	secundaria	M	Interior	2006	publico	publicoP	menores20	publico	bajoM	medioT	medioI	medioCL	medioC	1
trabNO	notrab	primaria	primaria	M	Interior	2005	otros	otrosP	menores20	publico	medioM	medioT	medioI	bajoCL	medioC	1
trabNO	notrab	primaria	secundaria	F	Interior	2005	amadecasa	otrosP	menores20	publico	altoM	medioT	bajoI	bajoCL	bajoC	1
trabNO	notrab	primaria	primaria	F	Interior	2005	privado	otrosP	menores20	publico	medioM	medioT	bajoI	bajoCL	medioC	1
trabNO	notrab	secundaria	primaria	M	Interior	2006	privado	otrosP	mayores20	publico	bajoM	bajoT	medioI	medioCL	altoC	1
trabNO	notrab	secundaria	terciaria	F	Interior	2006	amadecasa	otrosP	mayores20	publico	medioM	medioT	medioI	bajoCL	altoC	2
trabNO	notrab	primaria	primaria	F	Interior	2005	amadecasa	privadoP	mayores20	publico	bajoM	bajoT	bajoI	bajoCL	altoC	1
trabNO	notrab	terciaria	secundaria	M	Interior	2005	profesional	otrosP	menores20	publico	bajoM	medioT	medioI	altoCL	medioC	2
trabNO	notrab	terciaria	terciaria	F	Interior	2005	profesional	profesionalP	menores20	publico	medioM	medioT	medioI	altoCL	medioC	3
